"Month","Variable","median","lower_centile","upper_centile","Units","low_cent_value","upp_cent_value","Comments"
"Mar","larvae_carn_scav_benthos",NA,NA,NA,"mMNm3",17,83,""
"Apr","larvae_carn_scav_benthos",NA,NA,NA,"mMNm3",17,83,""
"May","larvae_carn_scav_benthos",NA,NA,NA,"mMNm3",17,83,""
"Jun","larvae_carn_scav_benthos",NA,NA,NA,"mMNm3",17,83,""
"Jul","larvae_carn_scav_benthos",NA,NA,NA,"mMNm3",17,83,""
"Aug","larvae_carn_scav_benthos",NA,NA,NA,"mMNm3",17,83,""
"Sep","larvae_carn_scav_benthos",NA,NA,NA,"mMNm3",17,83,""
"Oct","larvae_carn_scav_benthos",NA,NA,NA,"mMNm3",17,83,""
"Nov","larvae_carn_scav_benthos",NA,NA,NA,"mMNm3",17,83,""
"Dec","larvae_carn_scav_benthos",NA,NA,NA,"mMNm3",17,83,""
"Jan","surface_chlorophyll",0.196812974901754,0.186812408507814,0.245547649950707,"mgm3",0.2,0.8,"Copernicus remote sensing data from OCEANCOLOUR_GLO_BGC_L4_MY_009_104 for Brazilian_Shelf_MA 2010-2019"
"Feb","surface_chlorophyll",0.210069634971092,0.180007119763099,0.273690349243122,"mgm3",0.2,0.8,"Copernicus remote sensing data from OCEANCOLOUR_GLO_BGC_L4_MY_009_104 for Brazilian_Shelf_MA 2010-2019"
"Mar","surface_chlorophyll",0.214446814972534,0.174802831989857,0.227262765043879,"mgm3",0.2,0.8,"Copernicus remote sensing data from OCEANCOLOUR_GLO_BGC_L4_MY_009_104 for Brazilian_Shelf_MA 2010-2019"
"Apr","surface_chlorophyll",0.241978721534419,0.209333028562215,0.267137928274633,"mgm3",0.2,0.8,"Copernicus remote sensing data from OCEANCOLOUR_GLO_BGC_L4_MY_009_104 for Brazilian_Shelf_MA 2010-2019"
"May","surface_chlorophyll",0.341048495213316,0.282540206596623,0.406563625308359,"mgm3",0.2,0.8,"Copernicus remote sensing data from OCEANCOLOUR_GLO_BGC_L4_MY_009_104 for Brazilian_Shelf_MA 2010-2019"
"Jun","surface_chlorophyll",0.471928463508739,0.431828809372602,0.522790339085008,"mgm3",0.2,0.8,"Copernicus remote sensing data from OCEANCOLOUR_GLO_BGC_L4_MY_009_104 for Brazilian_Shelf_MA 2010-2019"
"Jul","surface_chlorophyll",0.682075084223021,0.561023422220792,0.809320461766356,"mgm3",0.2,0.8,"Copernicus remote sensing data from OCEANCOLOUR_GLO_BGC_L4_MY_009_104 for Brazilian_Shelf_MA 2010-2019"
"Aug","surface_chlorophyll",0.818832546008116,0.578478654443016,0.928310436927515,"mgm3",0.2,0.8,"Copernicus remote sensing data from OCEANCOLOUR_GLO_BGC_L4_MY_009_104 for Brazilian_Shelf_MA 2010-2019"
"Sep","surface_chlorophyll",0.613836748441399,0.465469538500428,0.85255912445634,"mgm3",0.2,0.8,"Copernicus remote sensing data from OCEANCOLOUR_GLO_BGC_L4_MY_009_104 for Brazilian_Shelf_MA 2010-2019"
"Oct","surface_chlorophyll",0.329343660077091,0.289646314571958,0.466067633445631,"mgm3",0.2,0.8,"Copernicus remote sensing data from OCEANCOLOUR_GLO_BGC_L4_MY_009_104 for Brazilian_Shelf_MA 2010-2019"
"Nov","surface_chlorophyll",0.261983732209458,0.231607333246602,0.299199551900984,"mgm3",0.2,0.8,"Copernicus remote sensing data from OCEANCOLOUR_GLO_BGC_L4_MY_009_104 for Brazilian_Shelf_MA 2010-2019"
"Dec","surface_chlorophyll",0.20178566065842,0.195395324562245,0.243057569099479,"mgm3",0.2,0.8,"Copernicus remote sensing data from OCEANCOLOUR_GLO_BGC_L4_MY_009_104 for Brazilian_Shelf_MA 2010-2019"
